<<<<<<< HEAD
type_id,type_name
1,Scripted
2,Documentary
3,Miniseries
4,Reality
5,Talk Show
6,Video
7,News
=======
type_id,type_name
1,Scripted
2,Documentary
3,Miniseries
4,Reality
5,Talk Show
6,Video
7,News
>>>>>>> a2c54963329c2f97277d43e3e93d44a6f5fa1087
